Time,Running,Ready,Waiting,Ready Suspended,Waiting Suspended,Completed
0,A,,,,,
1,A,,,,,
2,A,,,D,,
3,A,,,"D, B",,
4,IO,,A,"D, B",,
5,IO,,A,"D, B, C",,
6,IO,,A,"D, B, C",,
7,IO,,A,"D, B, C",,
8,IO,,A,"D, B, C, E",,
9,D,,,"A, B, C, E",,IO
10,D,,,"A, B, C, E, F",,IO
11,D,,,"A, B, C, E, F",,IO
12,D,,,"A, B, C, E, F",,IO
13,D,,,"A, B, C, E, F",,IO
14,A,,,"B, C, E, F",,"IO, D"
15,A,,,"B, C, E, F, G",,"IO, D"
16,A,,,"B, C, E, F, G",,"IO, D"
17,B,,,"G, C, E, F",,"IO, D, A"
18,B,,,"G, C, E, F",,"IO, D, A"
19,B,,,"G, C, E, F",,"IO, D, A"
20,B,,,"G, C, E, F",,"IO, D, A"
21,B,,,"G, C, E, F",,"IO, D, A"
22,B,,,"G, C, E, F",,"IO, D, A"
23,B,,,"G, C, E, F",,"IO, D, A"
24,B,,,"G, C, E, F",,"IO, D, A"
25,B,,,"G, C, E, F",,"IO, D, A"
26,G,,,"C, E, F",,"IO, D, A, B"
27,G,,,"C, E, F",,"IO, D, A, B"
28,G,,,"C, E, F",,"IO, D, A, B"
29,G,,,"C, E, F",,"IO, D, A, B"
30,G,,,"C, E, F",,"IO, D, A, B"
31,G,,,"C, E, F",,"IO, D, A, B"
32,G,,,"C, E, F",,"IO, D, A, B"
33,G,,,"C, E, F",,"IO, D, A, B"
34,G,,,"C, E, F",,"IO, D, A, B"
35,G,,,"C, E, F",,"IO, D, A, B"
36,G,,,"C, E, F",,"IO, D, A, B"
37,C,,,"E, F",,"IO, D, A, B, G"
38,C,,,"E, F",,"IO, D, A, B, G"
39,C,,,"E, F",,"IO, D, A, B, G"
40,C,,,"E, F",,"IO, D, A, B, G"
41,C,,,"E, F",,"IO, D, A, B, G"
42,C,,,"E, F",,"IO, D, A, B, G"
43,C,,,"E, F",,"IO, D, A, B, G"
44,C,,,"E, F",,"IO, D, A, B, G"
45,C,,,"E, F",,"IO, D, A, B, G"
46,C,,,"E, F",,"IO, D, A, B, G"
47,C,,,"E, F",,"IO, D, A, B, G"
48,C,,,"E, F",,"IO, D, A, B, G"
49,C,,,"E, F",,"IO, D, A, B, G"
50,C,,,"E, F",,"IO, D, A, B, G"
51,C,,,"E, F",,"IO, D, A, B, G"
52,C,,,"E, F",,"IO, D, A, B, G"
53,E,,,F,,"IO, D, A, B, G, C"
54,E,,,F,,"IO, D, A, B, G, C"
55,E,,,F,,"IO, D, A, B, G, C"
56,E,,,F,,"IO, D, A, B, G, C"
57,E,,,F,,"IO, D, A, B, G, C"
58,E,,,F,,"IO, D, A, B, G, C"
59,E,,,F,,"IO, D, A, B, G, C"
60,E,,,F,,"IO, D, A, B, G, C"
61,E,,,F,,"IO, D, A, B, G, C"
62,E,,,F,,"IO, D, A, B, G, C"
63,E,,,F,,"IO, D, A, B, G, C"
64,E,,,F,,"IO, D, A, B, G, C"
65,E,,,F,,"IO, D, A, B, G, C"
66,E,,,F,,"IO, D, A, B, G, C"
67,E,,,F,,"IO, D, A, B, G, C"
68,E,,,F,,"IO, D, A, B, G, C"
69,E,,,F,,"IO, D, A, B, G, C"
70,E,,,F,,"IO, D, A, B, G, C"
71,E,,,F,,"IO, D, A, B, G, C"
72,F,,,,,"IO, D, A, B, G, C, E"
73,F,,,,,"IO, D, A, B, G, C, E"
74,F,,,,,"IO, D, A, B, G, C, E"
75,F,,,,,"IO, D, A, B, G, C, E"
76,F,,,,,"IO, D, A, B, G, C, E"
77,F,,,,,"IO, D, A, B, G, C, E"
78,F,,,,,"IO, D, A, B, G, C, E"
79,F,,,,,"IO, D, A, B, G, C, E"
80,F,,,,,"IO, D, A, B, G, C, E"
81,F,,,,,"IO, D, A, B, G, C, E"
82,F,,,,,"IO, D, A, B, G, C, E"
83,F,,,,,"IO, D, A, B, G, C, E"
84,F,,,,,"IO, D, A, B, G, C, E"
85,F,,,,,"IO, D, A, B, G, C, E"
86,F,,,,,"IO, D, A, B, G, C, E"
87,F,,,,,"IO, D, A, B, G, C, E"
88,F,,,,,"IO, D, A, B, G, C, E"
89,F,,,,,"IO, D, A, B, G, C, E"
90,F,,,,,"IO, D, A, B, G, C, E"
91,F,,,,,"IO, D, A, B, G, C, E"
92,F,,,,,"IO, D, A, B, G, C, E"
93,F,,,,,"IO, D, A, B, G, C, E"
94,F,,,,,"IO, D, A, B, G, C, E"
95,F,,,,,"IO, D, A, B, G, C, E"
96,F,,,,,"IO, D, A, B, G, C, E"
97,F,,,,,"IO, D, A, B, G, C, E"
98,None,,,,,"IO, D, A, B, G, C, E, F"
